日文,中文
今日のエピソードのタイトルは10080分です。,今天集數的標題是 10080 分鐘
何の時間だと思いますか？,你認為是什麼時間？
24時間×60分＝1440分です。,24小時乘60分鐘就是1440分
1週間は何分か計算すると10080分になります。,如果計算一週的分鐘數，就是10080分鐘
こうやってみると、1週間って長く感じます。,這樣看來，一周似乎很長
長さはそれぞれちがいますが、平均すると1本の長さはだいたい12分から15分と言う意味です。,長度各不相同，但平均每部影片長約 12 至 15 分鐘
つまり、私が生活している10080分のうち、12分くらいしか動画でシェアしていないことになります。,"換句話說，在我生命的 10,080 分鐘中，我只透過影片分享了大約 12 分鐘"
みんな私の1週間の10080分のうちの12分しか知らないんです。,"在我一週的 10,080 分鐘中，人們只知道大約 12 分鐘"
私が最近ちょっと怖いなと感じるのは、私に対して過度にいい印象をもつ人が多いことです。,最近我覺得有點可怕的是很多人對我的印象太過正面
私にもマイナスな感情があるし、人とコミュニケーションすることが苦手だと感じることもあります。,我也有負面情緒，有時覺得自己不善於與人溝通
みなさんと同じように、苦手な人もいるし、だれとでも仲よくなれるわけじゃありません。,就像每個人一樣，都有你不喜歡的人，你不可能和每個人都和睦相處
もしみなさんが実際に私に会ったら、失望するかもしれません。,如果你真的見到我，你可能會失望
私は動画やPodcastでは、自分の考え方や行動について、みなさんに与える影響を考えながら撮影や録音をしています。,當我錄製影片或播客時，我會考慮我的想法和行為對每個人的影響
みんなに明るい気持ちになってほしいし、日本語を勉強するモチベーションにしてほしいからです。,我希望每個人都感到光明並有動力學習日語
他の先生にも苦しいことや辛いことがあります。,其他老師也有困難和磨難
